34.5	12	1.67	0.25	0.5	['D2', 'D3', 'F#4']	2.052823305130005
35.0	12	2	0.5	0.5	['D2', 'D3', 'A3', 'F#4']	2.566328287124634
35.5	12	2.33	0.25	0.5	['D2', 'D3', 'D4', 'G4']	3.7991485595703125
36.0	12	2.67	0.25	0.5	['D2', 'D3', 'F#4', 'A4']	4.977303981781006
36.5	13	1	1.0	0.5	['D2', 'D3', 'B-3', 'B-4']	4.673799991607666
37.0	13	1.33	0.25	0.5	['D2', 'D3', 'D4', 'B-4']	2.2855751514434814
37.5	13	1.67	0.25	0.5	['D2', 'D3', 'F4', 'B-4']	4.464171886444092
38.0	13	2	0.5	0.5	['F2', 'F3', 'C4', 'C5']	5.444399833679199
38.5	13	2.33	0.25	0.5	['F2', 'F3', 'E-4', 'D5']	4.879828929901123
39.0	13	2.67	0.25	0.5	['F2', 'F3', 'A4', 'E-5']	4.023653984069824
39.5	14	1	1.0	0.5	['F#2', 'F#3', 'C4', 'D5']	10.57105827331543
40.0	14	1.33	0.25	0.5	['F#2', 'F#3', 'D4', 'D5']	2.582758665084839
40.5	14	1.67	0.25	0.5	['F#2', 'F#3', 'A4', 'D5']	2.9492685794830322
41.0	14	2	0.5	0.5	['G2', 'G3', 'B-3']	6.659822463989258
41.5	14	2.33	0.25	0.5	['G2', 'G3', 'D4']	2.5150439739227295
42.0	14	2.67	0.25	0.5	['G2', 'G3', 'B-4', 'D5']	2.5454983711242676
42.5	15	1	1.0	0.5	['A-2', 'A-3', 'B-3', 'D4', 'B-4', 'D5']	7.608462333679199
43.0	15	1.33	0.25	0.5	['G2', 'G3', 'B-3', 'D4', 'B-4', 'D5']	2.8718507289886475
43.5	15	1.67	0.25	0.5	['A-2', 'A-3', 'B-3', 'D4', 'B-4', 'D5']	4.606963634490967
44.0	15	2	0.5	0.5	['A2', 'A3', 'C#4', 'G4', 'C#5', 'E5']	15.618189811706543
44.5	15	2.33	0.25	0.5	['G#2', 'G#3', 'C#4', 'G4', 'C#5', 'E5']	6.07406759262085
45.0	15	2.67	0.25	0.5	['A2', 'A3', 'C#4', 'G4', 'C#5', 'E5']	4.397216796875
45.5	16	1	1.0	0.5	['B-2', 'B-3', 'D4', 'F4', 'D5', 'F5']	10.667553901672363
46.0	16	1.33	0.25	0.5	['A2', 'A3', 'D4', 'F4', 'D5', 'F5']	3.36224102973938
46.5	16	1.67	0.25	0.5	['B-2', 'B-3', 'D4', 'F4', 'D5', 'F5']	3.8520915508270264
47.0	16	2	0.5	0.5	['B2', 'B3', 'F4', 'G#4', 'D5', 'F5']	10.232603073120117
47.5	16	2.33	0.25	0.5	['A#2', 'A#3', 'F4', 'G#4', 'D5', 'E5', 'F5']	7.293272495269775
48.0	16	2.67	0.25	0.5	['B2', 'B3', 'F4', 'G#4', 'D5', 'F5']	4.8985819816589355
48.5	17	1	1.0	0.5	['C3', 'C4', 'A4', 'C5', 'F5', 'A5']	8.974869728088379
49.0	17	1.33	0.25	0.5	['B2', 'B3', 'A4', 'C5', 'F5', 'A5']	4.180959701538086
49.5	17	1.67	0.25	0.5	['B-2', 'B-3', 'A4', 'C5', 'F5', 'A5']	5.268448829650879
50.0	17	2	0.5	0.5	['A2', 'A3', 'C5', 'E5', 'B-5', 'C6']	5.594551086425781
50.5	17	2.33	0.25	0.5	['A-2', 'A-3', 'C5', 'D5', 'E5', 'B-5', 'C6']	7.7968926429748535
51.0	17	2.67	0.25	0.5	['G2', 'G3', 'C5', 'E5', 'B-5', 'C6']	5.154671669006348
51.5	18	1	1.0	0.5	['F2', 'F3', 'F5', 'A5', 'C6', 'F6']	6.852367877960205
52.0	18	1.33	0.25	0.5	['C3', 'F5', 'A5', 'C6', 'F6']	2.074195146560669
52.5	18	1.67	0.25	0.5	['F2', 'F3', 'F5', 'A5', 'C6', 'F6']	2.028521776199341
53.0	18	2	0.5	0.5	['F2', 'F3', 'F5', 'A5', 'C6', 'F6']	2.025791645050049
53.5	18	2.33	0.25	0.5	['F2', 'F3', 'F5', 'A5', 'C6', 'F6']	1.9720121622085571
54.0	18	2.67	0.25	0.5	['F4']	3.680311918258667
54.5	19	1	1.0	0.5	['G-2', 'D-3', 'B-3', 'G-4', 'B-4']	11.92737102508545
55.0	19	1.33	0.25	0.25	['G-4']	3.8500332832336426
55.25	19	1.5	0.125	0.25	['B-3', 'G-4', 'B-4']	2.642740249633789
55.5	19	1.67	0.25	0.5	['G-2', 'D-3', 'B-3', 'G-4', 'B-4']	3.2068397998809814
56.0	19	2	0.5	0.5	['G-2', 'D-3', 'B-3', 'G-4', 'B-4', 'D-5']	1.5727139711380005
56.5	19	2.33	0.25	0.5	['G-5']	3.561706781387329
57.0	19	2.67	0.25	0.5	['F5']	5.8390374183654785
57.5	20	1	1.0	0.5	['C2', 'G2', 'C4', 'G4', 'B-4', 'C5', 'E5']	13.02956771850586
58.0	20	1.33	0.25	0.25	['E5']	3.663576126098633
58.25	20	1.5	0.125	0.25	['C4', 'G4', 'B-4', 'C5', 'E5']	5.53220796585083
58.5	20	1.67	0.25	0.5	['C2', 'G2', 'C4', 'G4', 'B-4', 'C5', 'E5']	2.8674352169036865
59.0	20	2	0.5	0.5	['C2', 'G2', 'C4', 'G4', 'B-4', 'C5', 'E5']	2.6759119033813477
59.5	20	2.33	0.25	0.25	['E5']	4.840165615081787
59.75	20	2.5	0.125	0.25	['C2', 'G2', 'E5']	4.298768520355225
60.0	20	2.67	0.25	0.5	['C2', 'G2', 'G4']	2.8721601963043213
60.5	21	1	1.0	0.5	['G-2', 'D-3', 'B-3', 'G-4', 'B-4']	11.25060749053955
61.0	21	1.33	0.25	0.25	['G-4']	3.4227805137634277
61.25	21	1.5	0.125	0.25	['B-3', 'G-4', 'B-4']	2.433117389678955
61.5	21	1.67	0.25	0.5	['G-2', 'D-3', 'B-3', 'G-4', 'B-4']	2.766524314880371
62.0	21	2	0.5	0.5	['G-2', 'D-3', 'B-3', 'G-4', 'B-4', 'D-5']	1.4273649454116821
62.5	21	2.33	0.25	0.5	['G-5']	3.497866153717041
63.0	21	2.67	0.25	0.5	['F5']	5.698683261871338
63.5	22	1	1.0	0.5	['C2', 'G2', 'C4', 'G4', 'B-4', 'C5', 'E5']	12.840532302856445
64.0	22	1.33	0.25	0.25	['E5']	3.5860536098480225
64.25	22	1.5	0.125	0.25	['C4', 'G4', 'B-4', 'C5', 'E5']	5.555700302124023
64.5	22	1.67	0.25	0.5	['C2', 'G2', 'C4', 'G4', 'B-4', 'C5', 'E5']	2.8238768577575684
65.0	22	2	0.5	0.5	['C2', 'G2', 'C4', 'G4', 'B-4', 'C5', 'E5']	2.638610363006592
65.5	22	2.33	0.25	0.25	['C2', 'G2', 'C4', 'G4', 'B-4', 'C5', 'E5']	2.6398158073425293
65.75	22	2.5	0.125	0.25	['C2', 'G2']	3.8597850799560547
66.0	22	2.67	0.25	0.5	['C2', 'G2', 'C5']	1.9780982732772827
66.5	23	1	1.0	0.5	['C3', 'A-3', 'E-4', 'G-4', 'A-4', 'E-5']	11.170164108276367
67.0	23	1.33	0.25	0.25	['E-5']	4.0676798820495605
67.25	23	1.5	0.125	0.25	['E-4', 'G-4', 'A-4', 'E-5']	4.958202838897705
67.5	23	1.67	0.25	0.5	['C3', 'A-3', 'E-4', 'G-4', 'A-4', 'E-5']	3.45365571975708
68.0	23	2	0.5	0.5	['C3', 'A-3', 'E-4', 'G-4', 'A-4', 'E-5']	2.3685343265533447
68.5	23	2.33	0.25	0.5	['D5']	9.635821342468262
69.0	23	2.67	0.25	0.5	['E-5']	3.2984533309936523
69.5	24	1	1.0	0.5	['C-3', 'E-3', 'C-4', 'G-4', 'A4', 'E-5', 'G-5']	9.501456260681152
70.0	24	1.33	0.25	0.25	['E-5']	3.0138332843780518
70.25	24	1.5	0.125	0.25	['G-4', 'A4', 'E-5', 'G-5']	5.326705455780029
70.5	24	1.67	0.25	0.5	['C-3', 'E-3', 'C-4', 'G-4', 'A4', 'E-5', 'G-5']	4.543129920959473
71.0	24	2	0.5	0.5	['C-3', 'E-3', 'C-4', 'G-4', 'A4', 'E-5', 'G-5']	2.6215124130249023
71.5	24	2.33	0.25	0.5	['D5']	7.459822177886963
72.0	24	2.67	0.25	0.5	['E-5']	3.9461653232574463
72.5	25	1	1.0	0.5	['B-2', 'E-3', 'B-3', 'G4', 'B-4', 'E-5', 'G5']	6.362877368927002
73.0	25	1.33	0.25	0.5	['E-5']	2.1098647117614746
73.5	25	1.67	0.25	0.5	['G5']	4.1934967041015625
74.0	25	2	0.5	0.5	['B-2', 'F3', 'B-3', 'A-4', 'D5', 'F5', 'B-5']	11.516640663146973
74.5	25	2.33	0.25	0.5	['F5']	4.046748638153076
75.0	25	2.67	0.25	0.5	['D5']	3.397697925567627
75.5	26	1	1.0	0.5	['E-2', 'B-2', 'E-3', 'B-4', 'E-5', 'G5', 'B-5']	6.3471550941467285
76.0	26	1.33	0.25	0.25	['E-5']	3.2164525985717773
76.25	26	1.5	0.125	0.25	['E-5', 'G5', 'B-5', 'E-6']	3.3772664070129395
76.5	26	1.67	0.25	0.5	['E-2', 'B-2', 'E-3', 'E-5', 'G5', 'B-5', 'E-6']	1.8216524124145508
77.0	26	2	0.5	0.5	['E-2', 'B-2', 'E-3', 'E-5', 'G5', 'B-5', 'E-6']	1.5498679876327515
77.5	26	2.33	0.25	0.5	['E-2', 'B-2', 'E-3', 'E-5', 'G5', 'B-5', 'E-6']	1.4341509342193604
78.0	26	2.67	0.25	0.5	['D5']	7.9600934982299805
78.5	27	1	1.0	1.0	['E-3', 'G3', 'E-4', 'G4', 'C#5']	7.317639350891113
79.5	27	1.67	0.25	0.5	['E-3', 'G3', 'E-4', 'G4', 'C5']	5.356326103210449
80.0	27	2	0.5	0.5	['E-3', 'G3', 'E-4', 'G4', 'B-4']	3.561218023300171
80.5	27	2.33	0.25	0.5	['E-3', 'G3', 'E-4', 'G4', 'A4']	4.5390625
81.0	27	2.67	0.25	0.5	['E-3', 'G3', 'E-4', 'G4']	2.0792675018310547
81.5	28	1	1.0	1.0	['D3', 'F#3', 'D4', 'F#4']	8.593794822692871
82.5	28	1.67	0.25	0.5	['D3', 'F#3', 'D4', 'F#4', 'A4']	3.692551851272583
83.0	28	2	0.5	1.0	['D3', 'F#3', 'D4', 'F#4', 'A4']	2.149641752243042
84.0	28	2.67	0.25	0.5	['D3', 'F#3', 'D4', 'F#4', 'D5']	2.6348354816436768
84.5	29	1	1.0	1.0	['E-3', 'G3', 'E-4', 'G4', 'D5', 'G5']	6.896055698394775
85.5	29	1.67	0.25	0.5	['E-3', 'G3', 'E-4', 'G4', 'C5', 'D5', 'G5']	3.7178077697753906
86.0	29	2	0.5	1.0	['E-3', 'G3', 'E-4', 'G4', 'B-4', 'D5', 'G5']	4.956680774688721
87.0	29	2.67	0.25	0.5	['E-3', 'G3', 'E-4', 'G4', 'D5', 'G5']	2.562394857406616
87.5	30	1	1.0	1.5	['D3', 'F#3', 'D4', 'A4', 'D5', 'F#5', 'A5']	8.971285820007324
89.0	30	2	0.5	1.0	['D3', 'F#3', 'D4', 'A4', 'D5', 'F#5', 'A5']	2.5994033813476562
90.0	30	2.67	0.25	0.5	['D3', 'F#3', 'D4', 'A4', 'D5', 'F#5', 'A5']	2.1703999042510986
90.5	31	1	1.0	0.5	['E3', 'B3', 'E4', 'G4']	11.499106407165527
91.0	31	1.33	0.25	0.5	['G4']	3.9346041679382324
91.5	31	1.67	0.25	0.5	['G4']	1.763924479484558
92.0	31	2	0.5	0.5	['D3', 'F#3', 'B3', 'D4', 'F#4', 'B4']	7.931901454925537
92.5	31	2.33	0.25	0.5	['B4']	3.2424983978271484
93.0	31	2.67	0.25	0.5	['B4']	1.809741497039795
93.5	32	1	1.0	0.5	['B2', 'G3', 'B3', 'D#4', 'G4', 'D#5']	5.670169353485107
94.0	32	1.33	0.25	0.5	['D#5']	2.9709866046905518
94.5	32	1.67	0.25	0.5	['D#5']	1.6058576107025146
95.0	32	2	0.5	1.5	['C3', 'G3', 'C4', 'G4', 'C5', 'E5', 'G5']	10.28388500213623
96.5	33	1	1.0	0.5	['D3', 'G3', 'D4', 'B4', 'D5', 'E5', 'G5', 'B5']	7.680506706237793
97.0	33	1.33	0.25	0.5	['D5']	4.823432445526123
97.5	33	1.67	0.25	0.5	['C5']	4.653317451477051
98.0	33	2	0.5	0.5	['B4']	3.371610641479492
98.5	33	2.33	0.25	0.5	['D2', 'D3', 'C4', 'D4', 'F#4', 'B4']	6.940926551818848
99.0	33	2.67	0.25	0.5	['A4']	5.327957630157471
99.5	34	1	1.0	1.0	['G4']	4.140416145324707
100.5	34	1.67	0.25	0.5	['G2', 'D3', 'B3', 'G4', 'B4', 'D5', 'G5']	4.375741481781006
101.0	34	2	0.5	1.5	['G2', 'D3', 'B3', 'G4', 'B4', 'D5', 'G5']	1.9208074808120728
